x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-70.81,47,47,-70.81,70132G9.1994.01,70132G9,Jan,Monthly,QC,1994-01,,C,,C,,C,,mm,,mm,,mm,1019.2,hPa,-9999.9,hPa,,kph
-115.12,67.83,67.83,-115.12,2300900.2010.10,2300900,Oct,Monthly,NU,2010-10,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-81.5,43.95,43.95,-81.5,6124700.2004.06,6124700,Jun,Monthly,ON,2004-06,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-81.5333,45.2333,45.2333,-81.5333,6128323.1994.08,6128323,Aug,Monthly,ON,1994-08,,C,,C,,C,105.1,mm,105.1,mm,0,mm,,hPa,,hPa,,kph
-108.98,49.43,49.43,-108.98,4032322.2020.03,4032322,Mar,Monthly,SK,2020-03,-5.8,C,-0.9,C,-10.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-126.43,59.9,59.9,-126.43,1197530.1992.03,1197530,Mar,Monthly,BC,1992-03,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-79.25,56.54,56.54,-79.25,2303667.1991.04,2303667,Apr,Monthly,NU,1991-04,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-84.78,47.97,47.97,-84.78,6059408.2012.09,6059408,Sep,Monthly,ON,2012-09,,C,,C,,C,,mm,,mm,,mm,1013.8,hPa,979.1,hPa,,kph
-78.7,47.38,47.38,-78.7,7080600.1994.10,7080600,Oct,Monthly,QC,1994-10,6.6,C,11.6,C,1.6,C,73.4,mm,73,mm,0.4,mm,,hPa,,hPa,,kph
-130.36,54.17,54.17,-130.36,1063496.2010.09,1063496,Sep,Monthly,BC,2010-09,,C,,C,,C,,mm,,mm,,mm,1010.8,hPa,1010.2,hPa,,kph
-85.28,48.6,48.6,-85.28,6059475.2004.01,6059475,Jan,Monthly,ON,2004-01,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-81.5,43.95,43.95,-81.5,6124700.2017.02,6124700,Feb,Monthly,ON,2017-02,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-111.45,52.08,52.08,-111.45,3011885.2000.04,3011885,Apr,Monthly,AB,2000-04,,C,,C,,C,,mm,,mm,,mm,1018.1,hPa,-9999.9,hPa,,kph
-62.4667,46.4667,46.4667,-62.4667,8300447.1994.08,8300447,Aug,Monthly,PE,1994-08,,C,,C,,C,39.5,mm,39.5,mm,0,mm,,hPa,,hPa,,kph
-83.37,64.2,64.2,-83.37,2301002.1997.07,2301002,Jul,Monthly,NU,1997-07,10.3,C,14.6,C,5.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.53,50.72,50.72,-99.53,5043158.2002.02,5043158,Feb,Monthly,MB,2002-02,-7,C,-1.5,C,-12.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-106.58,51.13,51.13,-106.58,4022359.2016.05,4022359,May,Monthly,SK,2016-05,13,C,20.5,C,5.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-123.63,48.65,48.65,-123.63,1017230.1992.04,1017230,Apr,Monthly,BC,1992-04,9.9,C,14.9,C,4.9,C,99.5,mm,99.5,mm,0,mm,,hPa,,hPa,,kph
-123.3,48.45,48.45,-123.3,1018598.2004.07,1018598,Jul,Monthly,BC,2004-07,19,C,25.2,C,12.8,C,,mm,,mm,,mm,1014.5,hPa,1007.3,hPa,,kph
-80.05,42.57,42.57,-80.05,6134F10.1997.08,6134F10,Aug,Monthly,ON,1997-08,,C,,C,,C,,mm,,mm,,mm,1014.5,hPa,-9999.9,hPa,,kph
-106.72,52.17,52.17,-106.72,4057165.2019.02,4057165,Feb,Monthly,SK,2019-02,-23.9,C,-18.7,C,-29.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-97.85,53.9667,53.9667,-97.85,5062045.2015.06,5062045,Jun,Monthly,MB,2015-06,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-71.7333,46.6833,46.6833,-71.7333,7012071.2002.06,7012071,Jun,Monthly,QC,2002-06,,C,,C,,C,68.2,mm,68.2,mm,0,mm,,hPa,,hPa,,kph
-64.29,49.84,49.84,-64.29,7056202.2011.02,7056202,Feb,Monthly,QC,2011-02,,C,,C,,C,,mm,,mm,,mm,1008.8,hPa,1001.9,hPa,,kph
-93.73,49.67,49.67,-93.73,6036907.2020.10,6036907,Oct,Monthly,ON,2020-10,2.2,C,6,C,-1.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-103.98,50.57,50.57,-103.98,4016322.2007.09,4016322,Sep,Monthly,SK,2007-09,12.3,C,19.3,C,5.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-77.57,55.37,55.37,-77.57,7103539.2018.07,7103539,Jul,Monthly,QC,2018-07,11.4,C,16.5,C,6.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-79.78,44.38,44.38,-79.78,6110552.2004.04,6110552,Apr,Monthly,ON,2004-04,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-60.45,46.5333,46.5333,-60.45,8206450.1999.03,8206450,Mar,Monthly,NS,1999-03,,C,,C,,C,426.9,mm,339.2,mm,87.7,mm,,hPa,,hPa,,kph
-74.6167,45.95,45.95,-74.6167,7030310.2002.09,7030310,Sep,Monthly,QC,2002-09,,C,,C,,C,49,mm,49,mm,0,mm,,hPa,,hPa,,kph
-81.25,68.78,68.78,-81.25,2402353.1992.04,2402353,Apr,Monthly,NU,1992-04,-22.4,C,-17.9,C,-26.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-74.98,49.82,49.82,-74.98,7091299.2005.05,7091299,May,Monthly,QC,2005-05,9,C,15.7,C,2.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-89.5167,48.2333,48.2333,-89.5167,6048864.2000.07,6048864,Jul,Monthly,ON,2000-07,,C,,C,,C,47.1,mm,47.1,mm,0,mm,,hPa,,hPa,,kph
-110.47,49.12,49.12,-110.47,3044923.2017.06,3044923,Jun,Monthly,AB,2017-06,16.3,C,24.2,C,8.4,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-140.2,69.62,69.62,-140.2,2100682.2015.11,2100682,Nov,Monthly,YT,2015-11,-15.7,C,-11.7,C,-19.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-80.67,48.75,48.75,-80.67,6073810.1997.06,6073810,Jun,Monthly,ON,1997-06,17.3,C,25.4,C,9.1,C,99.9,mm,99.9,mm,0,mm,,hPa,,hPa,,kph
-108.52,54.13,54.13,-108.52,406N0NM.1998.05,406N0NM,May,Monthly,SK,1998-05,12.4,C,22,C,2.8,C,,mm,,mm,,mm,1011.7,hPa,-9999.9,hPa,,kph
-126.75,65.28,65.28,-126.75,2202810.2005.10,2202810,Oct,Monthly,NT,2005-10,-3.2,C,0,C,-6.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-85.28,48.6,48.6,-85.28,6059475.2011.12,6059475,Dec,Monthly,ON,2011-12,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-73.4167,45.5167,45.5167,-73.4167,7027320.1993.08,7027320,Aug,Monthly,QC,1993-08,,C,,C,,C,,mm,,mm,,mm,1015.6,hPa,1012.3,hPa,12,kph
-70.78,47.08,47.08,-70.78,7041JG6.2008.08,7041JG6,Aug,Monthly,QC,2008-08,,C,,C,,C,,mm,,mm,,mm,1012.3,hPa,1011.6,hPa,,kph
-63.52,44.63,44.63,-63.52,8205092.2010.03,8205092,Mar,Monthly,NS,2010-03,2.7,C,6.6,C,-1.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-119.53,73.23,73.23,-119.53,2503886.2020.09,2503886,Sep,Monthly,NT,2020-09,-2,C,0.2,C,-4.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-89.33,48.37,48.37,-89.33,6048268.1996.04,6048268,Apr,Monthly,ON,1996-04,0,C,5.3,C,-5.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-111.45,52.0667,52.0667,-111.45,3011880.1992.07,3011880,Jul,Monthly,AB,1992-07,,C,,C,,C,,mm,,mm,,mm,1016.2,hPa,923.6,hPa,12.5,kph
-94.07,58.73,58.73,-94.07,5060608.2005.12,5060608,Dec,Monthly,MB,2005-12,-19.8,C,-16.2,C,-23.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-119.22,50.5,50.5,-119.22,1160483.1990.09,1160483,Sep,Monthly,BC,1990-09,15,C,24.2,C,5.8,C,11.1,mm,11.1,mm,0,mm,,hPa,,hPa,,kph
-79.395,43.6286,43.6286,-79.395,6158665.1993.02,6158665,Feb,Monthly,ON,1993-02,,C,,C,,C,,mm,,mm,,mm,1020.2,hPa,1010.6,hPa,20.4,kph
-111.12,58.77,58.77,-111.12,3072658.1995.03,3072658,Mar,Monthly,AB,1995-03,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,1021.7,hPa,991.6,hPa,,kph
-101.2667,49.1833,49.1833,-101.2667,5012080.1997.12,5012080,Dec,Monthly,MB,1997-12,,C,,C,,C,1.8,mm,0,mm,1.8,mm,,hPa,,hPa,,kph
-139.02,61.37,61.37,-139.02,2100184.2009.02,2100184,Feb,Monthly,YT,2009-02,-19.5,C,-11.7,C,-27.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-77.75,55.2833,55.2833,-77.75,7103536.1993.03,7103536,Mar,Monthly,QC,1993-03,,C,,C,,C,12.6,mm,0.3,mm,12.3,mm,1019.3,hPa,1018.1,hPa,16.1,kph
-127.1828,54.8247,54.8247,-127.1828,1077500.1992.01,1077500,Jan,Monthly,BC,1992-01,,C,,C,,C,52.2,mm,13.8,mm,38.3,mm,1009.5,hPa,946.3,hPa,10,kph
-64.1,53.57,53.57,-64.1,8501131.2013.04,8501131,Apr,Monthly,NL,2013-04,-4.4,C,2.4,C,-11.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-89.5167,48.2333,48.2333,-89.5167,6048864.2008.11,6048864,Nov,Monthly,ON,2008-11,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-112.7167,52.3333,52.3333,-112.7167,3016119.2015.09,3016119,Sep,Monthly,AB,2015-09,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-65.88,45.32,45.32,-65.88,8104901.2014.04,8104901,Apr,Monthly,NB,2014-04,4,C,8.4,C,-0.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.95,49.9,49.9,-99.95,5010490.2020.09,5010490,Sep,Monthly,MB,2020-09,11.6,C,19,C,4.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-124.93,51.98,51.98,-124.93,1084350.1995.02,1084350,Feb,Monthly,BC,1995-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64,47.06,47.06,-64,8300516.1995.07,8300516,Jul,Monthly,PE,1995-07,,C,,C,,C,,mm,,mm,,mm,1012.5,hPa,-9999.9,hPa,,kph
-65.15,49.2,49.2,-65.15,7052865.1992.03,7052865,Mar,Monthly,QC,1992-03,,C,,C,,C,20.3,mm,8.7,mm,11.7,mm,,hPa,,hPa,,kph
-68.32,47.42,47.42,-68.32,8101303.1993.05,8101303,May,Monthly,NB,1993-05,8.6,C,16.4,C,0.8,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-138.91,69.57,69.57,-138.91,2100636.2013.04,2100636,Apr,Monthly,YT,2013-04,,C,,C,,C,,mm,,mm,,mm,1026,hPa,1025.8,hPa,,kph
-82.22,42.38,42.38,-82.22,6131415.1998.04,6131415,Apr,Monthly,ON,1998-04,9.6,C,14.4,C,4.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-99.64,49.78,49.78,-99.64,5012672.2002.03,5012672,Mar,Monthly,MB,2002-03,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-64.25,45.7667,45.7667,-64.25,8203700.1993.11,8203700,Nov,Monthly,NS,1993-11,,C,,C,,C,114.6,mm,105.9,mm,8.8,mm,,hPa,,hPa,,kph
-122.5972,58.8364,58.8364,-122.5972,1192940.2011.12,1192940,Dec,Monthly,BC,2011-12,,C,,C,,C,17.4,mm,2.3,mm,15.1,mm,1011.9,hPa,963.7,hPa,6.3,kph
-106.37,50.13,50.13,-106.37,4021600.2003.06,4021600,Jun,Monthly,SK,2003-06,15,C,22.3,C,7.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-92.75,49.83,49.83,-92.75,6032119.2003.08,6032119,Aug,Monthly,ON,2003-08,,C,,C,,C,128.1,mm,128.1,mm,0,mm,1017.3,hPa,968.2,hPa,,kph
-80.05,45.35,45.35,-80.05,6116257.2005.06,6116257,Jun,Monthly,ON,2005-06,20.4,C,25.3,C,15.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-111.45,52.0667,52.0667,-111.45,3011880.1995.07,3011880,Jul,Monthly,AB,1995-07,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,7.1,kph
-119.22,50.5,50.5,-119.22,1160483.2001.06,1160483,Jun,Monthly,BC,2001-06,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-98.32,49.98,49.98,-98.32,5012322.1996.03,5012322,Mar,Monthly,MB,1996-03,-13.4,C,-7.6,C,-19.1,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-95.7,51.03,51.03,-95.7,5030282.2007.05,5030282,May,Monthly,MB,2007-05,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,-9999.9,hPa,-9999.9,hPa,,kph
-89.03,50.3,50.3,-89.03,6040326.1996.10,6040326,Oct,Monthly,ON,1996-10,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-90.72,63.33,63.33,-90.72,2300700.2014.02,2300700,Feb,Monthly,NU,2014-02,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-107.15,50.95,50.95,-107.15,4024714.1992.09,4024714,Sep,Monthly,SK,1992-09,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-98.8028,50.4139,50.4139,-98.8028,5041535.1994.03,5041535,Mar,Monthly,MB,1994-03,,C,,C,,C,16.6,mm,4.3,mm,12.4,mm,,hPa,,hPa,,kph
-82.6833,41.7833,41.7833,-82.6833,6136336.2009.12,6136336,Dec,Monthly,ON,2009-12,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-72.5333,48.85,48.85,-72.5333,7065640.2003.10,7065640,Oct,Monthly,QC,2003-10,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-105.6167,57.25,57.25,-105.6167,4063755.2000.05,4063755,May,Monthly,SK,2000-05,,C,,C,,C,83,mm,62.4,mm,20.5,mm,,hPa,,hPa,,kph
-77.7867,48.0564,48.0564,-77.7867,7098600.2009.11,7098600,Nov,Monthly,QC,2009-11,,C,,C,,C,59.5,mm,47,mm,12.5,mm,1018.9,hPa,977.1,hPa,12.4,kph
-111.73,53.42,53.42,-111.73,3015401.2007.06,3015401,Jun,Monthly,AB,2007-06,15.4,C,21.1,C,9.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-72.92,45.57,45.57,-72.92,7027361.2000.04,7027361,Apr,Monthly,QC,2000-04,4.7,C,8.9,C,0.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-115.57,51.18,51.18,-115.57,3050520.2013.01,3050520,Jan,Monthly,AB,2013-01,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-122.37,49.23,49.23,-122.37,1107680.2004.05,1107680,May,Monthly,BC,2004-05,13.7,C,18.3,C,9.2,C,217.3,mm,217.3,mm,0,mm,,hPa,,hPa,,kph
-128.7,54.02,54.02,-128.7,1064321.2003.04,1064321,Apr,Monthly,BC,2003-04,7.7,C,12.9,C,2.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-82.95,42.28,42.28,-82.95,6139527.2006.09,6139527,Sep,Monthly,ON,2006-09,17.2,C,21.1,C,13.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-107.9353,50.9786,50.9786,-107.9353,4023240.1999.07,4023240,Jul,Monthly,SK,1999-07,,C,,C,,C,135.2,mm,135.2,mm,0,mm,,hPa,,hPa,,kph
-123.13,48.78,48.78,-123.13,1017099.2003.01,1017099,Jan,Monthly,BC,2003-01,6.4,C,8.5,C,4.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-67.25,45.22,45.22,-67.25,8104935.2014.05,8104935,May,Monthly,NB,2014-05,10.9,C,17.1,C,4.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-78.08,58.47,58.47,-78.08,710S005.2004.06,710S005,Jun,Monthly,QC,2004-06,4.8,C,9.1,C,0.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-68.4167,58.1,58.1,-68.4167,7113534.1993.03,7113534,Mar,Monthly,QC,1993-03,,C,,C,,C,29.9,mm,0,mm,29.9,mm,1017.7,hPa,1012.8,hPa,16.6,kph
-81.12,44.75,44.75,-81.12,6119499.1995.06,6119499,Jun,Monthly,ON,1995-06,17.1,C,23,C,11.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-121.23,61.77,61.77,-121.23,2202102.1992.03,2202102,Mar,Monthly,NT,1992-03,-7.6,C,-0.9,C,-14.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-115.07,49.48,49.48,-115.07,1152850.2002.11,1152850,Nov,Monthly,BC,2002-11,1.3,C,5.6,C,-3.1,C,78.1,mm,75.4,mm,2.7,mm,,hPa,,hPa,,kph
-119.2336,50.6856,50.6856,-119.2336,1166R45.2014.01,1166R45,Jan,Monthly,BC,2014-01,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-115.7819,49.6122,49.6122,-115.7819,1152102.2009.05,1152102,May,Monthly,BC,2009-05,,C,,C,,C,21.9,mm,21.4,mm,0.5,mm,1014.8,hPa,906.3,hPa,10.9,kph
-80.33,43.73,43.73,-80.33,6142400.2009.05,6142400,May,Monthly,ON,2009-05,12.2,C,17.7,C,6.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-108.48,59.57,59.57,-108.48,406QLD0.2008.03,406QLD0,Mar,Monthly,SK,2008-03,-18.2,C,-9.8,C,-26.5,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,1020.8,hPa,979.8,hPa,,kph
-75.67,62.18,62.18,-75.67,711GG87.1994.06,711GG87,Jun,Monthly,QC,1994-06,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-120.7403,56.2381,56.2381,-120.7403,1183000.1991.10,1183000,Oct,Monthly,BC,1991-10,,C,,C,,C,27,mm,11,mm,16,mm,1018,hPa,934,hPa,16.7,kph
-128.63,54.05,54.05,-128.63,1064320.2009.07,1064320,Jul,Monthly,BC,2009-07,20.3,C,26.9,C,13.7,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-86.29,48.59,48.59,-86.29,6046767.2001.10,6046767,Oct,Monthly,ON,2001-10,,C,,C,,C,,mm,,mm,,mm,1011.3,hPa,985.8,hPa,,kph
-100.08,68.32,68.32,-100.08,2302370.1998.07,2302370,Jul,Monthly,NU,1998-07,6.8,C,10.4,C,3.1,C,,mm,,mm,,mm,1013.2,hPa,1008.1,hPa,,kph
-120.8,50.12,50.12,-120.8,1125079.2009.12,1125079,Dec,Monthly,BC,2009-12,-7.9,C,-4.3,C,-11.6,C,38,mm,0.4,mm,37.6,mm,,hPa,,hPa,,kph
-115.97,49.63,49.63,-115.97,1154203.1992.09,1154203,Sep,Monthly,BC,1992-09,10.7,C,18.8,C,2.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-79.4,45.1333,45.1333,-79.4,6110606.1997.08,6110606,Aug,Monthly,ON,1997-08,,C,,C,,C,110.5,mm,110.5,mm,0,mm,,hPa,,hPa,,kph
-113.87,53.28,53.28,-113.87,3011120.1995.08,3011120,Aug,Monthly,AB,1995-08,12.8,C,19.1,C,6.5,C,99.2,mm,99.2,mm,0,mm,,hPa,,hPa,,kph
-100.88,61.13,61.13,-100.88,2301102.2003.01,2301102,Jan,Monthly,NU,2003-01,-24.4,C,-19.8,C,-29,C,,mm,,mm,,mm,-9999.9,hPa,973,hPa,,kph
-85.9333,79.9833,79.9833,-85.9333,2401200.2000.11,2401200,Nov,Monthly,NU,2000-11,,C,,C,,C,4.7,mm,0,mm,4.7,mm,1017,hPa,1015.6,hPa,5.5,kph
-89.1,50.25,50.25,-89.1,6040330.2015.08,6040330,Aug,Monthly,ON,2015-08,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-77.57,55.37,55.37,-77.57,7103539.2004.07,7103539,Jul,Monthly,QC,2004-07,10.7,C,15.7,C,5.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-57.92,48.93,48.93,-57.92,8401298.2008.06,8401298,Jun,Monthly,NL,2008-06,11.6,C,15.9,C,7.3,C,,mm,,mm,,mm,1013.9,hPa,995.4,hPa,,kph
-102.4,52.87,52.87,-102.4,4083320.1998.07,4083320,Jul,Monthly,SK,1998-07,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-99.9519,49.91,49.91,-99.9519,5010480.1990.09,5010480,Sep,Monthly,MB,1990-09,,C,,C,,C,25.2,mm,25.2,mm,0,mm,1017.1,hPa,967.9,hPa,15.6,kph
